,,,,,,,,,,,
,,,,,,,Comprado,#NAME?,Setor, ,5.5
,,,,,,,Tota Orçado,#NAME?,23281362.249999996,custo de importação,1.5
,,,,,,,,,,,
SETOR,COTACAO,"DT
COTACAO",PEDIDO,"DT
PEDIDO",FORNECEDOR ,PRODUTO,"QT
PEDIDA",VALOR,ORIGEM,"STATUS DA 
COMRPA ",DISCIPLINA
SETOR 4,,46009,,,FABRICANTE - CHINA,PATRELEIRA PORTA PALLET PARA O ESTOQUE,25,55362.037500000006,CHINA,Orçamento não Apravado,OPERACIONAL
SETOR 4,,46058,,,SILBER DO BRASIL,MAQUINA DE CORTE E BISEL CNC PLASMA,1,615000,BRASIL,Cancelado,OPERACIONAL
SETOR 2,41750,46063,42355,46063,LANSUN - CHINA,MAQUINA DE CORTE E BISEL CNC PLASMA LANSUN ZLQ-54G,1,172012.5,CHINA,Comprado,OPERACIONAL
SETOR 4,41750,46065,42390,46065,WUXI HALDEN,ROLETES PARA SOLDA CR1 E CR3,1,43594.0725,CHINA,Comprado,OPERACIONAL
SETOR 4,41779,46066,42412,46073,COPERFERRO,BANCADAS METALICAS - FABRICA,1,38688,BRASIL,Comprado,OPERACIONAL
SETOR 2,41907,,42550,46078,LANSUN - CHINA,ACESSORIOS DIVERSOS DA CNC CORTE PLASMA,1,11464.86,CHINA,Comprado,OPERACIONAL
SETOR 4,,,,,PROJECARD,PROJETO ESTRUTURAL PARA PONTE ROLANTE + PROJETO,40,21960,BRASIL,Em Orçamento,PROJETO
SETOR 4 - SALA DA QUALIDADE ,25612,45827,38010,45834,MARIO TELHAS COMERCIO DE MATERIAIS DE CONSTRUÇÃO,BLOCO DE ESPUMA P/ CAMURÇA,5,30.8,BRASIL,Comprado,AMPLIAÇÃO CQ
SETOR 4 - SALA DA QUALIDADE ,25612,45827,38010,45834,MARIO TELHAS COMERCIO DE MATERIAIS DE CONSTRUÇÃO,AREIA,8,1126.4,BRASIL,Comprado,AMPLIAÇÃO CQ
SETOR 4 - SALA DA QUALIDADE ,25612,45827,38010,45834,MARIO TELHAS COMERCIO DE MATERIAIS DE CONSTRUÇÃO,LIGA PARAISO ( SACO 20KG),15,145.2,BRASIL,Comprado,AMPLIAÇÃO CQ
SETOR 4 - SALA DA QUALIDADE ,25612,45827,38010,45834,MARIO TELHAS COMERCIO DE MATERIAIS DE CONSTRUÇÃO,CARRINHO DE MAO,1,152.68,BRASIL,Comprado,AMPLIAÇÃO CQ
SETOR 4 - SALA DA QUALIDADE ,25612,45827,38010,45834,MARIO TELHAS COMERCIO DE MATERIAIS DE CONSTRUÇÃO,DESEMPENADEIRA PLASTICA 12X28 CM,1,13.28,BRASIL,Comprado,AMPLIAÇÃO CQ
SETOR 4 - SALA DA QUALIDADE ,25612,45827,38010,45834,MARIO TELHAS COMERCIO DE MATERIAIS DE CONSTRUÇÃO,DESEMPENADEIRA MADEIRA 19X29 CM,1,24.08,BRASIL,Comprado,AMPLIAÇÃO CQ
SETOR 4 - SALA DA QUALIDADE ,25612,45827,38010,45834,MARIO TELHAS COMERCIO DE MATERIAIS DE CONSTRUÇÃO,"REGUA DE ALUMINIO 2,5M",1,54.96,BRASIL,Comprado,AMPLIAÇÃO CQ
SETOR 4 - SALA DA QUALIDADE ,25612,45827,38011,45834,MYSA S/A,ESPAÇADOR NIVELADOR 2MM SACOS C/ 50 UNID.,10,243.84,BRASIL,Comprado,AMPLIAÇÃO CQ
SETOR 4 - SALA DA QUALIDADE ,25612,45827,38011,45834,MYSA S/A,REJUNTE QUARTZOLIT P/ PORCELANATO 1KG,15,199.47,BRASIL,Comprado,AMPLIAÇÃO CQ
SETOR 4 - SALA DA QUALIDADE ,25612,45827,38011,45834,MYSA S/A,ARGAMASSA,10,197.9,BRASIL,Comprado,AMPLIAÇÃO CQ
SETOR 4 - SALA DA QUALIDADE ,25612,45827,38011,45834,MYSA S/A,SIFAO SANFONADO UNIVERSAL BRANCO,4,19.36,BRASIL,Comprado,AMPLIAÇÃO CQ
SETOR 4 - SALA DA QUALIDADE ,25612,45827,38011,45834,MYSA S/A,JOELHO ESGOTO 40X45,4,8.04,BRASIL,Comprado,AMPLIAÇÃO CQ
SETOR 4 - SALA DA QUALIDADE ,25612,45827,38011,45834,MYSA S/A,PORCELANATO,130.83,6474.78,BRASIL,Comprado,AMPLIAÇÃO CQ
SETOR 4 - SALA DA QUALIDADE ,25612,45827,38011,45834,MYSA S/A,LAVATORIO 53CM BRANCO,1,232.4,BRASIL,Comprado,AMPLIAÇÃO CQ
SETOR 4 - SALA DA QUALIDADE ,25612,45827,38011,45834,MYSA S/A,JOELHO 90° PVC SOLDAVEL 25 MM,10,6.9,BRASIL,Comprado,AMPLIAÇÃO CQ
SETOR 4 - SALA DA QUALIDADE ,25612,45827,38011,45834,MYSA S/A,REGISTRO SOLDAVEL PVC 25MM,2,30.24,BRASIL,Comprado,AMPLIAÇÃO CQ
SETOR 4 - SALA DA QUALIDADE ,25612,45827,38011,45834,MYSA S/A,VALVULA LAVATORIO C/ PORTAL METAL 7CM,1,8.31,BRASIL,Comprado,AMPLIAÇÃO CQ
SETOR 4 - SALA DA QUALIDADE ,25612,45827,38011,45834,MYSA S/A,DUCHA HIGIENICA,3,346.08,BRASIL,Comprado,AMPLIAÇÃO CQ
SETOR 4 - SALA DA QUALIDADE ,25612,45827,38011,45834,MYSA S/A,ENGATE FLEXÍVEL PVC DE 50CM,5,31.4,BRASIL,Comprado,AMPLIAÇÃO CQ
SETOR 4 - SALA DA QUALIDADE ,25612,45827,38011,45834,MYSA S/A,TORNEIRA LAVATÓRIO AUTOMÁTICA,1,183.59,BRASIL,Comprado,AMPLIAÇÃO CQ
