row_key;item_id;setor;cotacao;data_cotacao;pedido;data_pedido;fornecedor;produto;quantidade;valor;origem;status_compra;disciplina;source_row
xlsx-25-05-26-row-0217;09;SETOR 9;;;;;DIAMETTRO;CONSTRUÇÃO DE SALA DE TREINAMENTO E SALA HSSE;1.0;192136.0;BRASIL;Orçamento não Aprovado;ESTRUTURAL;217
xlsx-25-05-26-row-0218;09;SETOR 9;;;;;ENTER;CONSTRUÇÃO DE SALA DE TREINAMENTO E SALA HSSE;1.0;495386.0;BRASIL;Orçamento não Aprovado;ESTRUTURAL;218
xlsx-25-05-26-row-0219;02;SETOR 2;;;;;COMPRA DE CABOS ELÉTRICOS PARA LIGAÇÃO DO PAINEL 380V;COMPRA DE CABOS ELÉTRICOS PARA LIGAÇÃO DO PAINEL 380V;0.0;0.0;BRASIL;Em Orçamento;ELÉTRICA;219
xlsx-25-05-26-row-0220;02;SETOR 2;;;42553;2026-02-24;COMPRA DE LUMINÁRIAS;COMPRA DE LUMINÁRIAS;0.0;600.0;BRASIL;Comprado;ELÉTRICA;220
xlsx-25-05-26-row-0221;02;SETOR 2;;;;;COMPRA DE PAINÉIS ELÉTRICOS;COMPRA DE PAINÉIS ELÉTRICOS;0.0;0.0;BRASIL;Em Orçamento;ELÉTRICA;221
xlsx-25-05-26-row-0222;02;SETOR 2;;;;;COMPRA DE ELETROCALHAS;COMPRA DE ELETROCALHAS;0.0;0.0;BRASIL;Em Orçamento;ELÉTRICA;222
xlsx-25-05-26-row-0223;03;SETOR 3;;;;;COMPRA DE CABOS ELÉTRICOS;COMPRA DE CABOS ELÉTRICOS;1.0;0.0;BRASIL;Em Orçamento;ELÉTRICA;223
xlsx-25-05-26-row-0224;03;SETOR 3;;;;;PINTURA E DEMARCAÇÕES DA ÁREA;PINTURA E DEMARCAÇÕES DA ÁREA;0.0;0.0;BRASIL;Em Orçamento;ELÉTRICA;224
xlsx-25-05-26-row-0225;04;SETOR 4;;2025-12-18;42924;2026-03-12;HENAN ZHONGGONG GROUP.;PÓRTICO PORTÁTIL 2T - 5M – GANTRY CRANE;1.0;15756.18;CHINA;Comprado;ESTRUTURAL;225
xlsx-25-05-26-row-0226;04;SETOR 4;;2025-12-18;42924;2026-03-12;HENAN ZHONGGONG GROUP.;PÓRTICO PORTÁTIL 2T - 8M – GANTRY CRANE;2.0;55862.9;CHINA;Comprado;ESTRUTURAL;226
xlsx-25-05-26-row-0227;06;SETOR 6;;;;;METALCOATING;CABINE DE JATO;1.0;200000.0;BRASIL;Orçamento não Aprovado;ESTRUTURAL;227
xlsx-25-05-26-row-0228;06;SETOR 6;;;;;METALCOATING;TROLLER;1.0;75000.0;BRASIL;Orçamento não Aprovado;ESTRUTURAL;228
